SMILES,atom undefined stereo count,bond defined stereo count,complexity,hydrogen bond donors,hydrogen bond acceptors,rotatable bonds,heavy atom count,heavy atom molecular weight,LogP,monoisotopic weight,molar refractivity,total charge,topological polar surface area,quantitative estimate of drug-likeness,molecular complexity index,number of valence electrons,radical electrons,Acute toxicity,Flammability,Instability,Skin Toxicity,Respiratory Toxicity,Eye Toxicity,Environmental Toxicity,domain_status
O=[N+]([O-])[13c]1[13cH][13cH][13c](O)[13c]([N+](=O)[O-])[13cH]1,0,0,375.2874025,1,5,2,13,186.029129,1.2086,190.0321503,41.4156,0,106.51,0.556485949,375.2874025,68,0,3,2,2,4,4,4,4,in-domain
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,2,0,352.0302612,0,4,3,16,204.144,2.243,222.1368278,60.637,0,58.86,0.542818061,352.0302612,88,0,4,4,2,4,4,4,4,in-domain
CC1(C)CC(N=C=O)CC(C)(N=C=O)C1,2,0,338.4970843,0,4,2,15,192.133,1.9954,208.1211778,56.068,0,58.86,0.514401596,338.4970843,82,0,4,4,2,4,4,4,4,in-domain
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1.O=C=NCCCCCCN=C=O,2,0,631.1168375,0,8,10,28,360.244,3.4614,390.2267054,105.082,0,117.72,0.322258588,631.1168375,154,0,2,4,2,4,4,3,4,out-of-domain
CC1CC(N=C=O)CC(C)(C)C1,2,0,203.884119,0,2,1,12,150.116,2.537,167.1310142,48.7055,0,29.43,0.435633788,203.884119,68,0,4,4,2,4,4,4,4,in-domain
CC1(C)C[C@@H](N=C=O)C[C@@](C)(CN=C=O)C1,0,0,352.0302612,0,4,3,16,204.144,2.243,222.1368278,60.637,0,58.86,0.542818061,352.0302612,88,0,4,4,2,4,4,4,4,in-domain
CC1CC(N=C=O)CC(C)(C)C1N=C=O,3,0,325.479623,0,4,2,15,192.133,1.8513,208.1211778,55.998,0,58.86,0.513312416,325.479623,82,0,4,4,2,4,4,4,4,in-domain
CC1(C)CCC(N=C=O)C(C)(CN=C=O)C1,2,0,352.0302612,0,4,3,16,204.144,2.243,222.1368278,60.637,0,58.86,0.542818061,352.0302612,88,0,4,4,2,4,4,4,4,in-domain
CC1(C)CCCC(C)(CN=C=O)C1N=C=O,2,0,352.0302612,0,4,3,16,204.144,2.243,222.1368278,60.637,0,58.86,0.542818061,352.0302612,88,0,4,4,4,4,4,4,4,in-domain
CC1(C)C[C@H](N=C=O)C[C@](C)(CN=C=O)C1,0,0,352.0302612,0,4,3,16,204.144,2.243,222.1368278,60.637,0,58.86,0.542818061,352.0302612,88,0,4,4,2,4,4,4,4,in-domain
CC1(C)C[C@H](N=C=O)C[C@@](C)(CN=C=O)C1,0,0,352.0302612,0,4,3,16,204.144,2.243,222.1368278,60.637,0,58.86,0.542818061,352.0302612,88,0,4,4,2,4,4,4,4,in-domain
CC1(CN=C=O)CCCC(N=C=O)C1,2,0,290.4971237,0,4,3,14,180.122,1.6069,194.1055277,51.473,0,58.86,0.505840176,290.4971237,76,0,2,3,0,4,4,4,4,in-domain
CC1(C)CC(CN=C=O)CC(N=C=O)C1,2,0,312.5496111,0,4,3,15,192.133,1.8529,208.1211778,56.02,0,58.86,0.524640119,312.5496111,82,0,2,3,2,4,4,4,4,in-domain
CC1(C)CC(C)(CN=C=O)CC(N=C=O)(N=C=O)C1,2,0,477.2628314,0,6,4,19,246.161,1.9065,263.1269914,67.7015,0,88.29,0.572856161,477.2628314,102,0,4,4,2,4,4,4,4,in-domain
[C-]#[N+]C1CC(C)(C)CC(C)(CN=C=O)C1,2,0,323.0040458,0,2,2,15,188.145,2.82649,206.1419132,59.1175,0,33.79,0.388360223,323.0040458,82,0,4,4,2,4,4,4,4,in-domain
CC1(C)CC(N=C=O)CCC1N=C=O,2,0,299.2438592,0,4,2,14,180.122,1.6053,194.1055277,51.451,0,58.86,0.494914102,299.2438592,76,0,2,3,2,4,4,4,4,in-domain
